arm,n_seeds,M1_p95_latency_s_mean,M1_p95_latency_s_ci_lo,M1_p95_latency_s_ci_hi,M1_mean_latency_s_mean,M1_mean_latency_s_ci_lo,M1_mean_latency_s_ci_hi,M2_mean_cost_usd_mean,M2_mean_cost_usd_ci_lo,M2_mean_cost_usd_ci_hi,M5_market_revenue_usd_mean,M5_market_revenue_usd_ci_lo,M5_market_revenue_usd_ci_hi,M6_rejection_rate_mean,M6_rejection_rate_ci_lo,M6_rejection_rate_ci_hi,M7_carbon_g_per_task_mean,M7_carbon_g_per_task_ci_lo,M7_carbon_g_per_task_ci_hi,M9_edge_service_fraction_mean,M9_edge_service_fraction_ci_lo,M9_edge_service_fraction_ci_hi,M11_jfi_mean,M11_jfi_ci_lo,M11_jfi_ci_hi,M16_myerson_efficiency_mean,M16_myerson_efficiency_ci_lo,M16_myerson_efficiency_ci_hi
Phase0_On,30,0.305158,0.299681,0.310787,0.125178,0.123801,0.12661,0.317547,0.303995,0.331814,634.467,624.534,644.114,0,0,0,264.409,253.114,276.298,0.88006,0.874724,0.885129,0.0743352,0.072893,0.0759173,0.113566,0.108844,0.118532
Phase0_Off,30,0.332358,0.330046,0.33485,0.195789,0.194296,0.197293,0.335893,0.320744,0.35186,597.043,581.148,612.303,0.0530154,0.0379165,0.0685682,279.698,267.076,293.006,0.873118,0.867156,0.878789,0.017039,0.0170161,0.0170631,0.119971,0.114598,0.125662
