arm,seed,n_completed,n_edge,n_cloud,edge_revenue,edge_true_cost,edge_profit,edge_margin_pct,n_edge_loss_making,cloud_revenue,cloud_true_cost,cloud_profit,total_revenue,total_user_spend,edge_mean_a_buyer,edge_mean_surplus,edge_surplus_pct_of_valuation,cloud_mean_a_buyer,cloud_mean_surplus,cloud_surplus_pct_of_valuation,n_ir_violations,n_tasks_cap
HEDGE_C,0,95175,85499,9676,24.484295946748905,0.49549997243995664,23.98879597430895,97.97625394858149,0,25745.4248172,17163.616544800003,8581.808272399998,25769.90911314675,25769.90911314675,5.2366286312168775,5.236342261833064,99.99453141698635,5.490912035823615,2.8301612279277895,51.54264372591204,0,320000
HEDGE_C,1,95280,82927,12353,25.79204258561525,0.5666434382576226,25.225399147357628,97.80302999897476,0,32349.621965600003,21566.414643733337,10783.207321866666,32375.414008185617,32375.414008185617,5.219541223347143,5.219230202297478,99.99404121863671,5.756994032738483,3.138227582030153,54.51156565707544,0,320000
HEDGE_C,2,94971,82367,12604,26.130915010846042,0.5802291359801173,25.550685874865923,97.77952997153261,0,33534.05529466667,22356.036863111112,11178.01843155556,33560.186209677515,33560.186209677515,5.092353240317417,5.092035990508503,99.99377007458158,5.798700999067925,3.138112670389198,54.117511333893816,0,320000
HEDGE_C,3,94856,84530,10326,25.31119751293866,0.5363082867175604,24.7748892262211,97.88114218442881,0,27213.379741066667,18142.253160711112,9071.126580355554,27238.690938579606,27238.690938579606,5.119907989592414,5.119608555101547,99.99415156499931,5.732965525153684,3.097542346665725,54.0303675833231,0,320000
HEDGE_C,4,94971,83629,11342,23.94402013149587,0.48820271243083063,23.45581741906504,97.96106622969026,0,29938.301735333334,19958.867823555556,9979.433911777778,29962.24575546483,29962.24575546483,5.249464582335787,5.2491782699306215,99.9945458741425,5.7170277254931205,3.0774313813445278,53.82921911716083,0,320000
HEDGE_C,5,94964,81613,13351,21.8722074626348,0.423139472750306,21.449067989884494,98.06540115590447,0,35280.09178273333,23520.061188488893,11760.03059424444,35301.96399019597,35301.96399019597,5.193829836401567,5.1935618373393755,99.99484004923856,5.683468015153298,3.040962451320376,53.50540274375686,0,320000
HEDGE_C,6,95280,82391,12889,25.30887606332081,0.5419634694676884,24.76691259385312,97.85860317103084,0,34046.2715092,22697.51433946667,11348.75716973333,34071.58038526332,34071.58038526332,5.1712892131575225,5.170982033052131,99.99405989313826,5.763548028367968,3.1220497345360174,54.168885540111845,0,320000
HEDGE_C,7,95175,83339,11836,23.406886157700942,0.4639122675602271,22.942973890140713,98.01805219013467,0,30931.267320733336,20620.84488048889,10310.422440244445,30954.674206891035,30954.674206891035,5.212349805890215,5.212068942355042,99.99461157547687,5.489413430290271,2.8760924332698803,52.39343820233627,0,320000
HEDGE_C,8,95280,84538,10742,25.326131465122586,0.5308384087518115,24.795293056370774,97.90398936575511,0,28588.214141133336,19058.809427422224,9529.404713711112,28613.540272598457,28613.540272598457,5.207220915287166,5.206921332478664,99.99424678127977,5.939906670316951,3.2785573739910023,55.19543582013991,0,320000
HEDGE_C,9,94750,83356,11394,23.93508806386681,0.5018759019251676,23.433212161941643,97.90317921293627,0,30327.210589600003,20218.140393066667,10109.070196533336,30351.14567766387,30351.14567766387,5.236018096385868,5.235730953431985,99.99451600531935,5.722005256325548,3.060322740124038,53.483396170266005,0,320000
