experiment,algorithm,seed,N_nodes,K_max,arrival_rate,arm,floor_violations,is_resale_violations,n_tasks_evaluated,n_completed,n_rejected,cfg_pi_co2,cfg_lambda_max,cfg_enable_resale,cfg_predictor_mode,M1_p50_latency_s,M1_p95_latency_s,M1_p99_latency_s,M1_mean_latency_s,M2_mean_cost_usd,M3_system_utilisation,M4_utilisation_variance,M5_market_revenue_usd,M6_rejection_rate,M7_carbon_g_per_task,M8_quote_variance,M9_edge_service_fraction,M10_completion_rate,M11_jfi,M12_tsfr,M13_err,M14_rmse_load,M14_rmse_revenue,M15_energy_joules_per_task,M16_myerson_efficiency,M17_primary_offload_fraction
hedge_c_widecom,HEDGE,0,125,15,6.0,HEDGE_C,0,0,2475191,2475191,0,0.0,0.0,False,instantaneous,0.09381102323855775,0.3384274756677459,0.3384274756677459,0.12596970471669255,0.271865465219238,0.04287412933539197,0.020636086950875532,636.4511536707887,0.0,226.34045558833407,2.0531875423286416e-25,0.8979206049149339,1.0,0.07207652973885874,0.0,0.0,0.0,0.29664868970773056,10185269.912522104,0.09867479809341874,0.8374291115311909
hedge_c_widecom,HEDGE,1,125,15,6.0,HEDGE_C,0,0,2475100,2475100,0,0.0,0.0,False,instantaneous,0.0981634453179206,0.2714745464215119,0.2714745464215119,0.1296504679191541,0.34120334015785214,0.039129693281664504,0.020829450847297277,669.7739700330733,0.0,284.10977332976285,2.309147003980912e-25,0.869811320754717,1.0,0.07211304180755164,0.0,0.0,0.0,0.2683291514317008,12784912.965230765,0.11944877884927861,0.8113207547169812
hedge_c_widecom,HEDGE,2,125,15,6.0,HEDGE_C,0,0,2474792,2474792,0,0.0,0.0,False,instantaneous,0.09726699174848143,0.29582650148799583,0.29582650148799583,0.12739776515456533,0.3536738221557668,0.04654207114045248,0.022262262590977033,681.1861509144773,0.0,294.49788091432384,2.9477207872120102e-25,0.8671726755218216,1.0,0.08310243772907767,0.0,0.0,0.0,0.23664418673445176,13252379.056013593,0.12770037191569458,0.8140417457305503
hedge_c_widecom,HEDGE,3,125,15,6.0,HEDGE_C,0,0,2474991,2474991,0,0.0,0.0,False,instantaneous,0.09349034931409661,0.30481775226587615,0.30481775226587615,0.12130817315748982,0.2881279116616744,0.040593668570046884,0.02036328435310816,660.5940169725181,0.0,239.8835576137786,2.068227141953922e-25,0.8907721280602636,1.0,0.07089821782712624,0.0,0.0,0.0,0.2529832138290087,10794735.246127795,0.10601631744906517,0.8286252354048964
hedge_c_widecom,HEDGE,4,125,15,6.0,HEDGE_C,0,0,2474792,2474792,0,0.0,0.0,False,instantaneous,0.0932783552154034,0.3046997774046697,0.3046997774046697,0.12450175817755157,0.3158011166503282,0.041056220991889054,0.0201853797960281,624.1911055655839,0.0,262.95682459410017,1.922482419363694e-25,0.8804554079696395,1.0,0.06986988718034812,0.0,0.0,0.0,0.2683289793295227,11833025.851338258,0.10993015673352655,0.8197343453510436
hedge_c_widecom,HEDGE,5,125,15,6.0,HEDGE_C,0,0,2474864,2474864,0,0.0,0.0,False,instantaneous,0.09391544281513718,0.29065022315745315,0.29065022315745315,0.12493088617100002,0.37276380566647377,0.042562801964936246,0.02089074016240914,570.1637640186318,0.0,310.4433571625879,1.9939058011174798e-25,0.8590225563909775,1.0,0.07707490449269219,0.0,0.0,0.0,0.17888634404464895,13969930.911192339,0.13471402865664564,0.8214285714285714
hedge_c_widecom,HEDGE,6,125,15,6.0,HEDGE_C,0,0,2475100,2475100,0,0.0,0.0,False,instantaneous,0.09766045358347904,0.3055438360777325,0.3055438360777325,0.12831475818578897,0.35911031253812553,0.04288846098806627,0.020697354588265375,657.2052637812408,0.0,299.03652683642446,2.0437746143203813e-25,0.8641509433962264,1.0,0.06891391466469893,0.0,0.0,0.0,0.35777156392178655,13456613.417914636,0.12777630251134886,0.8132075471698114
hedge_c_widecom,HEDGE,7,125,15,6.0,HEDGE_C,0,0,2475191,2475191,0,0.0,0.0,False,instantaneous,0.09466978037695321,0.31498241345495626,0.31498241345495626,0.1252559003281377,0.3262968016871331,0.04386812330885868,0.02129992742425893,608.447298976624,0.0,271.70854441147856,2.1855031700582133e-25,0.8752362948960303,1.0,0.07881465604576843,0.0,0.0,0.0,0.25298295469609544,12226852.147421934,0.12001947652842823,0.8166351606805293
hedge_c_widecom,HEDGE,8,125,15,6.0,HEDGE_C,0,0,2475100,2475100,0,0.0,0.0,False,instantaneous,0.09661544743810252,0.3298849342292801,0.3298849342292801,0.1322384592046482,0.301550473393259,0.04009921279853577,0.020192779673066024,657.7821016554965,0.0,251.06999067429587,2.069715831612399e-25,0.8867924528301887,1.0,0.07078302884064598,0.0,0.0,0.0,0.2529832928576622,11298122.791416282,0.10556706681588372,0.8320754716981132
hedge_c_widecom,HEDGE,9,125,15,6.0,HEDGE_C,0,0,2475100,2475100,0,0.0,0.0,False,instantaneous,0.09533926781494242,0.3106746428205196,0.3106746428205196,0.12531787180870288,0.3216631704728883,0.04299571169754332,0.020926521546822265,625.1051101124049,0.0,267.84158426097366,2.290499608517174e-25,0.879245283018868,1.0,0.07576056996869236,0.0,0.0,0.0,0.25298299295150467,12052840.828467304,0.11260813829078696,0.8037735849056604
